TRB,AST,STL,BLK,PTS,TOV,PF
252,138,46,30,724,74,225
4,0,1,1,10,2,5
627,160,67,48,1393,104,231
5,2,1,1,4,0,9
82,16,11,5,105,22,68
253,210,64,25,1304,129,182
145,72,59,19,330,66,109
129,176,50,10,427,95,103
75,104,27,5,262,61,50
54,72,23,5,165,34,53
346,31,24,73,371,57,169
483,33,42,143,448,59,171
208,44,15,12,367,37,119
1,0,0,0,2,1,1
202,37,25,14,487,56,81
454,222,88,30,1943,209,225
249,12,20,109,218,45,158
133,230,41,9,722,117,95
403,276,126,40,1072,161,162
81,21,15,12,71,22,59
61,16,8,8,51,13,44
14,2,2,4,10,4,5
6,3,5,0,10,5,10
130,225,36,6,439,54,102
110,15,14,14,143,22,60
29,91,17,0,161,32,53
97,193,45,5,508,74,127
98,1,7,16,104,12,76
41,10,5,9,125,7,16
23,7,8,2,14,6,16
23,26,12,2,109,20,30
69,64,23,12,418,46,71
146,258,35,6,596,102,119
493,93,25,111,1376,120,215
445,134,59,30,716,112,185
77,8,4,4,82,11,24
127,19,12,27,290,31,69
23,3,4,2,36,3,19
312,164,53,76,534,64,139
141,44,24,25,375,27,83
120,172,26,5,630,94,152
498,100,80,49,1156,131,221
78,74,29,12,397,54,84
95,89,42,5,469,60,80
132,104,39,12,459,54,136
23,13,4,2,71,5,15
21,10,4,2,60,5,13
2,3,0,0,11,0,2
52,16,2,17,118,28,33
184,310,67,3,730,90,157
259,57,20,44,166,32,117
228,409,82,9,1427,177,153
526,65,50,39,638,112,224
187,380,58,6,586,128,123
118,203,37,2,388,65,84
69,177,21,4,198,63,39
509,170,85,71,1143,182,218
176,95,45,12,347,53,156
701,127,39,175,1095,131,222
214,68,30,24,457,39,109
315,29,30,48,253,37,111
874,247,84,36,1519,212,270
759,166,43,68,1678,169,170
2,0,1,0,4,0,2
75,171,24,3,440,69,48
461,109,82,80,996,131,232
279,193,117,29,1066,164,224
187,154,91,15,511,53,80
180,151,85,15,501,51,80
7,3,6,0,10,2,0
25,1,1,3,19,2,19
12,0,1,1,5,0,9
13,1,0,2,14,2,10
213,22,15,5,147,23,115
215,434,69,14,1604,232,199
38,88,15,1,215,46,42
18,46,9,1,145,24,28
20,42,6,0,70,22,14
78,19,21,10,186,19,53
124,65,33,6,399,62,72
109,58,30,5,379,57,62
15,7,3,1,20,5,10
177,22,15,12,157,43,93
183,108,57,31,667,67,129
391,365,113,20,1970,233,187
220,88,34,11,657,48,85
461,156,116,24,1206,160,193
316,107,68,15,796,113,126
145,49,48,9,410,47,67
240,116,36,68,979,79,121
541,68,35,94,977,115,193
142,283,55,7,628,115,143
142,404,47,7,699,99,135
871,186,95,146,556,91,161
616,151,69,99,394,64,105
255,35,26,47,162,27,56
29,24,9,3,48,7,56
137,37,25,20,319,21,79
150,33,28,9,209,24,107
12,6,5,0,46,7,13
89,160,39,13,180,58,72
293,236,53,18,1244,106,189
349,95,54,17,792,98,125
135,246,91,12,521,123,175
320,16,17,55,333,91,138
348,138,46,49,993,108,184
62,21,7,13,140,23,25
62,6,2,3,34,10,42
14,4,3,2,16,5,21
50,44,23,1,111,32,45
192,432,78,4,946,202,92
384,38,37,48,439,63,230
191,425,109,12,959,170,178
3,7,0,0,6,4,5
9,1,0,2,21,6,5
82,43,14,10,223,24,50
201,238,61,12,1425,137,132
160,14,24,22,243,15,97
13,0,0,1,26,13,13
0,0,0,0,0,0,0
356,472,152,19,1399,243,252
784,64,42,151,667,123,252
400,31,15,77,328,61,153
95,66,27,6,288,42,91
266,598,126,43,1145,211,210
205,35,21,14,340,53,132
0,3,0,1,5,0,0
57,39,11,3,158,29,39
174,34,25,26,349,48,114
394,202,80,21,825,119,138
512,143,66,61,1230,134,129
223,53,43,18,662,62,176
424,325,60,57,925,178,219
4,3,1,0,5,3,8
3,8,4,0,6,0,2
2,4,3,0,3,0,1
1,4,1,0,3,0,1
65,5,5,14,32,12,31
54,135,34,0,364,59,82
43,2,3,2,23,6,21
25,2,2,1,11,4,12
18,0,1,1,12,2,9
108,112,42,3,481,55,116
198,93,55,19,657,97,101
171,241,48,8,635,126,131
281,115,81,16,674,68,162
178,378,59,3,494,110,83
788,246,45,117,1395,140,152
236,103,38,15,666,72,105
623,231,112,84,2472,271,171
159,74,20,5,505,74,72
257,340,143,25,1631,244,189
14,2,1,0,12,1,7
13,2,1,0,10,1,7
1,0,0,0,2,0,0
154,48,34,17,453,20,125
105,8,14,4,95,22,44
380,414,109,26,1450,216,204
131,127,52,11,591,72,109
288,446,123,22,968,168,172
164,127,62,11,503,72,87
90,15,6,19,128,24,78
71,43,10,6,202,21,33
38,19,6,4,93,13,12
33,24,4,2,109,8,21
170,201,90,9,615,78,202
191,356,82,2,1094,233,98
149,180,44,11,484,90,102
81,21,3,4,49,14,45
130,228,33,10,704,94,123
427,113,64,74,904,73,263
92,12,9,13,88,15,63
29,39,12,0,106,14,17
398,135,75,58,1221,110,191
66,45,10,19,202,21,49
506,185,68,57,990,101,170
640,165,69,109,1008,135,254
734,218,37,113,1190,143,152
472,153,118,64,1567,169,201
33,7,7,1,81,10,13
114,32,41,10,242,15,89
73,70,25,7,355,36,79
611,70,50,104,735,114,282
51,13,9,2,69,17,29
20,6,4,1,24,7,10
31,7,5,1,45,10,19
1,0,1,0,2,0,0
284,370,103,24,1237,154,154
348,124,62,16,832,95,155
542,47,41,58,763,108,194
316,26,26,50,408,56,129
226,21,15,8,355,52,65
119,166,49,6,855,118,147
160,186,69,14,1045,144,96
341,17,17,70,293,46,138
123,22,23,7,266,43,104
