TRB%,AST%,STL%,BLK%,TOV%,PF,PTS
6.5,9.3,1,1,10.5,225,724
8,0,1.8,2.7,16.1,5,10
13.3,9.9,1.3,1.3,7.4,231,1393
9.6,9.3,1.8,2.6,0,9,4
10.4,5.1,1.2,0.8,15.3,68,105
5.5,12.3,1.2,0.7,10.6,182,1304
10,13,3.5,1.7,17.8,109,330
5.3,20.2,1.9,0.5,16.5,103,427
5.6,23.1,1.9,0.5,16.9,50,262
4.8,16.7,1.9,0.6,15.8,53,165
16.7,3.7,1,4.4,14.7,169,371
16.4,2.8,1.3,6.3,14.3,171,448
13.4,8.1,0.9,1,9.1,119,367
3.8,0,0,0,25,1,2
12.8,7.1,1.4,1.1,11.7,81,487
9.9,15.9,1.7,0.9,10.6,225,1943
11.1,1.3,0.8,6.7,18.4,158,218
6.5,36.3,1.8,0.6,14.2,95,722
8.8,16.7,2.4,1.1,12.8,162,1072
14.1,8.8,2.3,2.7,19.1,59,71
15,9.3,1.7,2.5,17.3,44,51
14.3,5,1.8,5.2,23.7,5,10
8.6,11.5,6.4,0,21.9,10,10
4.8,22.2,1.2,0.3,11.5,102,439
14,4.9,1.6,2.3,12.1,60,143
2.7,21.6,1.4,0,15.9,53,161
4,21.7,1.6,0.3,13.1,127,508
15,0.4,0.9,3.2,14,76,104
9.9,6.8,1,2.8,6.5,16,125
14.6,10.6,4.5,1.7,22.5,16,14
5.6,16.4,2.5,0.6,18.9,30,109
5,12.5,1.5,1.1,10.4,71,418
5.4,26.1,1.2,0.3,15.3,119,596
10.4,5.4,0.5,3,8.8,215,1376
12.3,10.1,1.5,1.1,15.3,185,716
18.9,5.2,0.9,1.3,12,24,82
11.3,5.1,1,3.1,10.6,69,290
9.9,3.7,1.6,1.1,6.3,19,36
8.2,10.9,1.2,2.6,11.5,139,534
9.5,8,1.4,2.2,8.5,83,375
5.7,22.1,1.1,0.3,13.8,152,630
12.6,7.8,1.8,1.7,10.3,221,1156
6.4,18.6,2.1,1.3,14.4,84,397
5,11.8,1.9,0.3,12.2,80,469
4.7,9.8,1.3,0.6,10.3,136,459
7.6,12.3,1.2,0.9,7.4,15,71
8.1,11.3,1.4,1,8.2,13,60
4.8,19.5,0,0,0,2,11
10.1,8.4,0.3,4.3,20.1,33,118
4.9,20.8,1.6,0.1,11.7,157,730
18.9,10.1,1.3,4.1,17.8,117,166
5.3,26.1,1.7,0.3,13,153,1427
20.6,7.1,1.8,1.9,16.5,224,638
5.2,26.9,1.4,0.2,19.1,123,586
5.2,22.5,1.4,0.1,15,84,388
5.2,34.9,1.4,0.4,26.6,39,198
13,13.8,2,2.4,14.2,218,1143
6.6,8.5,1.5,0.6,14.2,156,347
17.9,10.3,0.9,6.2,11.4,222,1095
10.8,9,1.4,1.5,9,109,457
17.4,4.6,1.5,3.4,13,111,253
19.4,15.8,1.6,1.1,14.3,270,1519
17.7,11.5,0.9,2.1,10.7,170,1678
14.3,0,6.4,0,0,2,4
3.9,25.3,1.1,0.2,13.5,48,440
