TRB,AST,STL,BLK,TOV,PF,PTS
252,138,46,30,74,225,724
4,0,1,1,2,5,10
627,160,67,48,104,231,1393
5,2,1,1,0,9,4
82,16,11,5,22,68,105
253,210,64,25,129,182,1304
145,72,59,19,66,109,330
129,176,50,10,95,103,427
75,104,27,5,61,50,262
54,72,23,5,34,53,165
346,31,24,73,57,169,371
483,33,42,143,59,171,448
208,44,15,12,37,119,367
1,0,0,0,1,1,2
202,37,25,14,56,81,487
454,222,88,30,209,225,1943
249,12,20,109,45,158,218
133,230,41,9,117,95,722
403,276,126,40,161,162,1072
81,21,15,12,22,59,71
61,16,8,8,13,44,51
14,2,2,4,4,5,10
6,3,5,0,5,10,10
130,225,36,6,54,102,439
110,15,14,14,22,60,143
29,91,17,0,32,53,161
97,193,45,5,74,127,508
98,1,7,16,12,76,104
41,10,5,9,7,16,125
23,7,8,2,6,16,14
23,26,12,2,20,30,109
69,64,23,12,46,71,418
146,258,35,6,102,119,596
493,93,25,111,120,215,1376
445,134,59,30,112,185,716
77,8,4,4,11,24,82
127,19,12,27,31,69,290
23,3,4,2,3,19,36
312,164,53,76,64,139,534
141,44,24,25,27,83,375
120,172,26,5,94,152,630
498,100,80,49,131,221,1156
78,74,29,12,54,84,397
95,89,42,5,60,80,469
132,104,39,12,54,136,459
23,13,4,2,5,15,71
21,10,4,2,5,13,60
2,3,0,0,0,2,11
52,16,2,17,28,33,118
184,310,67,3,90,157,730
259,57,20,44,32,117,166
228,409,82,9,177,153,1427
526,65,50,39,112,224,638
187,380,58,6,128,123,586
118,203,37,2,65,84,388
69,177,21,4,63,39,198
509,170,85,71,182,218,1143
176,95,45,12,53,156,347
701,127,39,175,131,222,1095
214,68,30,24,39,109,457
315,29,30,48,37,111,253
874,247,84,36,212,270,1519
759,166,43,68,169,170,1678
2,0,1,0,0,2,4
75,171,24,3,69,48,440
461,109,82,80,131,232,996
279,193,117,29,164,224,1066
187,154,91,15,53,80,511
180,151,85,15,51,80,501
7,3,6,0,2,0,10
25,1,1,3,2,19,19
12,0,1,1,0,9,5
13,1,0,2,2,10,14
213,22,15,5,23,115,147
215,434,69,14,232,199,1604
38,88,15,1,46,42,215
18,46,9,1,24,28,145
20,42,6,0,22,14,70
78,19,21,10,19,53,186
124,65,33,6,62,72,399
109,58,30,5,57,62,379
15,7,3,1,5,10,20
177,22,15,12,43,93,157
183,108,57,31,67,129,667
391,365,113,20,233,187,1970
220,88,34,11,48,85,657
461,156,116,24,160,193,1206
316,107,68,15,113,126,796
145,49,48,9,47,67,410
240,116,36,68,79,121,979
541,68,35,94,115,193,977
142,283,55,7,115,143,628
142,404,47,7,99,135,699
871,186,95,146,91,161,556
616,151,69,99,64,105,394
255,35,26,47,27,56,162
29,24,9,3,7,56,48
137,37,25,20,21,79,319
150,33,28,9,24,107,209
12,6,5,0,7,13,46
89,160,39,13,58,72,180
293,236,53,18,106,189,1244
349,95,54,17,98,125,792
135,246,91,12,123,175,521
320,16,17,55,91,138,333
348,138,46,49,108,184,993
62,21,7,13,23,25,140
62,6,2,3,10,42,34
14,4,3,2,5,21,16
50,44,23,1,32,45,111
192,432,78,4,202,92,946
384,38,37,48,63,230,439
191,425,109,12,170,178,959
3,7,0,0,4,5,6
9,1,0,2,6,5,21
82,43,14,10,24,50,223
201,238,61,12,137,132,1425
160,14,24,22,15,97,243
13,0,0,1,13,13,26
0,0,0,0,0,0,0
356,472,152,19,243,252,1399
784,64,42,151,123,252,667
400,31,15,77,61,153,328
95,66,27,6,42,91,288
266,598,126,43,211,210,1145
205,35,21,14,53,132,340
0,3,0,1,0,0,5
57,39,11,3,29,39,158
174,34,25,26,48,114,349
394,202,80,21,119,138,825
512,143,66,61,134,129,1230
223,53,43,18,62,176,662
424,325,60,57,178,219,925
4,3,1,0,3,8,5
3,8,4,0,0,2,6
2,4,3,0,0,1,3
1,4,1,0,0,1,3
65,5,5,14,12,31,32
54,135,34,0,59,82,364
43,2,3,2,6,21,23
25,2,2,1,4,12,11
18,0,1,1,2,9,12
108,112,42,3,55,116,481
198,93,55,19,97,101,657
171,241,48,8,126,131,635
281,115,81,16,68,162,674
178,378,59,3,110,83,494
788,246,45,117,140,152,1395
236,103,38,15,72,105,666
623,231,112,84,271,171,2472
159,74,20,5,74,72,505
257,340,143,25,244,189,1631
14,2,1,0,1,7,12
13,2,1,0,1,7,10
1,0,0,0,0,0,2
154,48,34,17,20,125,453
105,8,14,4,22,44,95
380,414,109,26,216,204,1450
131,127,52,11,72,109,591
288,446,123,22,168,172,968
164,127,62,11,72,87,503
90,15,6,19,24,78,128
71,43,10,6,21,33,202
38,19,6,4,13,12,93
33,24,4,2,8,21,109
170,201,90,9,78,202,615
191,356,82,2,233,98,1094
149,180,44,11,90,102,484
81,21,3,4,14,45,49
130,228,33,10,94,123,704
427,113,64,74,73,263,904
92,12,9,13,15,63,88
29,39,12,0,14,17,106
398,135,75,58,110,191,1221
66,45,10,19,21,49,202
506,185,68,57,101,170,990
640,165,69,109,135,254,1008
734,218,37,113,143,152,1190
472,153,118,64,169,201,1567
33,7,7,1,10,13,81
114,32,41,10,15,89,242
73,70,25,7,36,79,355
611,70,50,104,114,282,735
51,13,9,2,17,29,69
20,6,4,1,7,10,24
31,7,5,1,10,19,45
1,0,1,0,0,0,2
284,370,103,24,154,154,1237
348,124,62,16,95,155,832
542,47,41,58,108,194,763
316,26,26,50,56,129,408
226,21,15,8,52,65,355
119,166,49,6,118,147,855
160,186,69,14,144,96,1045
341,17,17,70,46,138,293
123,22,23,7,43,104,266
135,23,20,10,36,94,296
342,171,94,51,157,183,1497
106,22,9,11,18,54,104
16,2,0,0,1,10,18
90,20,9,11,17,44,86
17,5,6,3,5,9,40
490,134,104,72,135,221,1239
129,152,32,11,67,135,638
234,71,41,53,93,150,647
2,1,0,2,1,4,10
75,10,1,14,20,57,62
49,16,4,9,11,29,99
10,0,0,2,3,5,25
122,202,30,3,115,115,831
138,28,17,8,21,70,246
244,137,80,20,106,200,753
405,110,62,26,132,209,1276
203,423,79,18,181,178,1080
24,3,5,1,9,14,29
20,3,4,1,9,10,25
4,0,1,0,0,4,4
2,6,2,1,3,4,2
0,1,1,0,0,0,0
2,5,1,1,3,4,2
629,52,30,23,75,174,771
152,50,17,9,47,91,232
436,158,32,83,131,200,723
465,139,73,43,74,219,358
108,40,29,9,28,91,350
715,43,26,158,99,209,704
507,18,18,101,67,145,478
208,25,8,57,32,64,226
80,72,18,9,54,53,357
